`Unnamed: 0.1,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
47,attending a virtual reality meetup.,positive,2023-01-30 18:30:00, VRMeetup     ,twitter, #VRMeetup #VirtualReality               ,28.0,55.0,india,2023,1,30,18
48,reflecting on the beauty of nature.,positive,2023-01-31 10:45:00, NatureLover  ,facebook, #Nature #Reflection                     ,15.0,30.0,australia,2023,1,31,10
49,cooking a special dinner for loved ones.,positive,2023-01-31 19:00:00, ChefAtHome   ,instagram, #Cooking #SpecialDinner                ,20.0,40.0,usa,2023,1,31,19
50,feeling optimistic about the week ahead.,positive,2023-01-31 16:20:00, OptimisticMindset,twitter, #Optimism #NewWeek                     ,15.0,30.0,canada,2023,1,31,16
51,starting a new fitness challenge tomorrow! 💪,positive,2023-02-01 08:00:00, FitnessChallenge,facebook, #FitnessChallenge #NewBeginnings       ,22.0,45.0,uk,2023,2,1,8
52,sunday bike ride through scenic trails.,positive,2023-02-01 13:30:00, BikeExplorer  ,instagram, #BikeRide #ScenicTrails                ,18.0,35.0,usa,2023,2,1,13
53,can't believe the injustice happening in our society.,anger,2023-02-11 09:30:00, SocialJustice   ,twitter, #Injustice #Angry                            ,20.0,40.0,canada,2023,2,11,9
54,feeling a sense of fear after watching a thriller movie.,fear,2023-02-11 21:15:00, ThrillerFan     ,instagram, #Fear #ThrillerMovie                         ,15.0,30.0,usa,2023,2,11,21
55,heartbroken after hearing the news about a natural disaster.,sadness,2023-02-12 14:45:00, EmpathyFirst    ,facebook, #Sadness #NaturalDisaster                    ,25.0,50.0,india,2023,2,12,14
56,the state of the world's environment is just disgusting.,disgust,2023-02-12 18:20:00, EcoAwareness    ,twitter, #Disgust #Environment                        ,18.0,35.0,uk,2023,2,12,18
57,pure happiness: celebrating a loved one's achievement!,happiness,2023-02-13 10:00:00, ProudFriend     ,instagram, #Happiness #Celebration                   ,30.0,60.0,usa,2023,2,13,10
58,laughter is the best medicine—enjoying a comedy show.,joy,2023-02-13 19:30:00, ComedyFan       ,facebook, #Joy #ComedyShow                             ,22.0,45.0,canada,2023,2,13,19
59,sharing love and positive vibes with everyone! ❤️,love,2023-02-14 08:30:00, LoveSpreader    ,twitter, #Love #SpreadLove                            ,15.0,30.0,australia,2023,2,14,8
60,an amusing incident brightened up my day!,amusement,2023-02-14 14:20:00, AmusedSoul      ,instagram, #Amusement #FunTimes                         ,18.0,35.0,uk,2023,2,14,14
61,enjoying a quiet evening with a book and some tea.,enjoyment,2023-02-14 19:45:00, BookLoverAgain  ,facebook, #Enjoyment #BookTime                         ,25.0,50.0,canada,2023,2,14,19
62,admiring the beauty of nature during a peaceful hike.,admiration,2023-02-15 11:30:00, NatureAdmirer   ,twitter, #Admiration #Nature                         ,20.0,40.0,usa,2023,2,15,11
63,sending affectionate vibes to all my followers!,affection,2023-02-15 16:00:00, AffectionSender ,instagram, #Affection #PositiveVibes                   ,15.0,30.0,usa,2023,2,15,16
64,experiencing awe at the breathtaking sunset.,awe,2023-02-15 20:30:00, AweStruck       ,facebook, #Awe #Breathtaking                          ,22.0,45.0,australia,2023,2,15,20
65,disappointed with the service at a local restaurant.,disappointed,2023-02-16 09:00:00, FoodieGoneWrong ,twitter, #Disappointed #BadService                   ,18.0,35.0,india,2023,2,16,9
66,a surprise gift from a friend made my day!,surprise,2023-02-16 14:45:00, HappySurprise   ,instagram, #Surprise #Gift                              ,25.0,50.0,usa,2023,2,16,14
67,finding acceptance in the midst of life's challenges.,acceptance,2023-02-16 18:20:00, AcceptanceSeeker,facebook, #Acceptance #Challenges                     ,15.0,30.0,canada,2023,2,16,18
68,overflowing with adoration for my adorable pet! 🐾,adoration,2023-02-17 10:45:00, PetAdorer       ,twitter, #Adoration #PetLove                         ,22.0,45.0,uk,2023,2,17,10
69,anticipating a thrilling adventure in the coming weeks.,anticipation,2023-02-17 07:30:00, AdventureAwaits  ,instagram, #Anticipation #Adventure                    ,20.0,40.0,usa,2023,2,17,7
70,a bitter experience turned into a valuable lesson.,bitter,2023-02-17 15:00:00, LearnFromBitter ,facebook, #BitterLesson #Growth                      ,18.0,35.0,usa,2023,2,17,15
71,finding calmness in the midst of a busy day.,calmness,2023-02-18 09:30:00, ZenMaster       ,twitter, #Calmness #PeacefulMind                    ,15.0,30.0,india,2023,2,18,9
72,confusion clouds my mind as i navigate through decisions.,confusion,2023-02-18 14:20:00, ConfusedMind    ,instagram, #Confusion #DecisionMaking                 ,25.0,50.0,uk,2023,2,18,14
73,excitement building up for the upcoming vacation!,excitement,2023-02-18 18:45:00, VacationDreamer ,facebook, #Excitement #TravelPlans                   ,22.0,45.0,canada,2023,2,18,18
74,kindness witnessed today restored my faith in humanity.,kind,2023-02-19 11:30:00, KindnessPrevails,twitter, #Kindness #Humanity                        ,20.0,40.0,usa,2023,2,19,11
75,pride in achieving a personal milestone.,pride,2023-02-19 16:00:00, PersonalAchiever,instagram, #Pride #Milestone                           ,30.0,60.0,australia,2023,2,19,16
76,a moment of shame for not standing up against injustice.,shame,2023-02-19 19:45:00, ReflectiveSelf  ,facebook, #Shame #Injustice                           ,15.0,30.0,india,2023,2,19,19
77,fuming with anger after a heated argument.,anger,2023-02-20 09:30:00, AngryDebater    ,twitter, #Anger #Argument                             ,20.0,40.0,canada,2023,2,20,9
78,the fear of the unknown is keeping me up at night.,fear,2023-02-20 21:15:00, FearfulDreamer  ,instagram, #Fear #Unknown                               ,15.0,30.0,usa,2023,2,20,21
79,heartfelt sadness after bidding farewell to a dear friend.,sadness,2023-02-21 14:45:00, FarewellHeart   ,facebook, #Sadness #Farewell                          ,25.0,50.0,india,2023,2,21,14
80,the state of corruption in our society is utterly disgusting.,disgust,2023-02-21 18:20:00, AntiCorruption  ,twitter, #Disgust #Corruption                         ,18.0,35.0,uk,2023,2,21,18
81,overflowing happiness: welcoming a new family member!,happiness,2023-02-22 10:00:00, NewParentJoy    ,instagram, #Happiness #NewFamilyMember                 ,30.0,60.0,uk,2023,2,22,10
82,laughter is the key to joy—attending a stand-up comedy show.,joy,2023-02-22 19:30:00, StandUpFan      ,facebook, #Joy #StandUpComedy                         ,22.0,45.0,canada,2023,2,22,19
83,sending love to all my followers on this beautiful day! ❤️,love,2023-02-23 08:30:00, LoveSender      ,twitter, #Love #SpreadLove                            ,15.0,30.0,australia,2023,2,23,8
84,amused by the antics of my pet—it's pure amusement!,amusement,2023-02-23 14:20:00, PetAmuser       ,instagram, #Amusement #PetAntics                       ,18.0,35.0,uk,2023,2,23,14
85,enjoying every moment of this trip—pure enjoyment!,enjoyment,2023-02-23 19:45:00, TravelExplorer  ,facebook, #Enjoyment #Travel                           ,25.0,50.0,usa,2023,2,23,19
86,admiring the dedication of volunteers at a local charity.,admiration,2023-02-24 11:30:00, CharityAdmirer  ,twitter, #Admiration #Volunteers                     ,20.0,40.0,usa,2023,2,24,11
87,sending affectionate vibes to friends and family.,affection,2023-02-24 16:00:00, FamilyLover     ,instagram, #Affection #FamilyLove                      ,15.0,30.0,usa,2023,2,24,16
88,awe-struck by the beauty of the night sky.,awe,2023-02-24 20:30:00, Stargazer       ,facebook, #Awe #StarryNight                        ,22.0,45.0,australia,2023,2,24,20
89,disappointed with the lack of progress in a personal project.,disappointed,2023-02-25 09:00:00, ProjectStruggle ,twitter, #Disappointed #Project                     ,18.0,35.0,india,2023,2,25,9
90,a surprise visit from an old friend brought tears of joy.,surprise,2023-02-25 14:45:00, JoyfulReunion   ,instagram, #Surprise #OldFriends                       ,25.0,50.0,usa,2023,2,25,14
91,embracing acceptance of life's ups and downs.,acceptance,2023-02-25 18:20:00, LifeAcceptance  ,facebook, #Acceptance #LifeJourney                   ,15.0,30.0,canada,2023,2,25,18
92,overflowing adoration for a cute rescue puppy! 🐶,adoration,2023-02-26 10:45:00, PuppyAdmirer    ,twitter, #Adoration #PuppyLove                       ,22.0,45.0,uk,2023,2,26,10
93,anticipating the release of a much-awaited movie.,anticipation,2023-02-26 07:30:00, MovieBuff2      ,instagram, #Anticipation #MovieRelease                 ,20.0,40.0,australia,2023,2,26,7
94,bitter experience at the customer service department.,bitter,2023-02-26 15:00:00, CustomerWoes    ,facebook, #BitterExperience #CustomerService         ,18.0,35.0,usa,2023,2,26,15
95,finding calmness amidst the chaos of daily life.,calmness,2023-02-27 09:30:00, CalmSoul        ,twitter, #Calmness #InnerPeace                      ,15.0,30.0,india,2023,2,27,9
96,confusion reigns as i try to make sense of recent events.,confusion,2023-02-27 14:20:00, ConfusedMind2   ,instagram, #Confusion #MakingSense                    ,25.0,50.0,uk,2023,2,27,14
97,excitement building up for a surprise birthday party.,excitement,2023-02-27 18:45:00, BirthdayExcite  ,facebook, #Excitement #SurpriseParty                 ,22.0,45.0,canada,2023,2,27,18
98,witnessed an act of kindness that made my day.,kind,2023-02-28 11:30:00, KindnessObserver,twitter, #Kindness #ActsOfKindness                  ,20.0,40.0,usa,2023,2,28,11
99,pride in completing a challenging fitness challenge.,pride,2023-02-28 16:00:00, FitAchiever     ,instagram, #Pride #FitnessChallengeCompleted          ,30.0,60.0,uk,2023,2,28,16
100,a moment of shame for not speaking up against injustice.,shame,2023-02-28 19:45:00, ReflectiveSelf2 ,facebook, #Shame #Injustice                           ,15.0,30.0,india,2023,2,28,19
101,reflecting on the beauty of diversity in our world.,acceptance,2023-03-01 10:45:00, DiversityLover  ,twitter, #Acceptance #Diversity                      ,22.0,45.0,australia,2023,3,1,10
102,excitement for a quiet evening with a good book.,excitement,2023-03-01 13:30:00, BookwormJoy     ,instagram, #Excitement #BookTime                       ,18.0,35.0,usa,2023,3,1,13
103,feeling bitter about the unfairness in the workplace.,bitter,2023-03-01 17:45:00, WorkplaceWoes   ,twitter, #Bitter #Unfairness                         ,15.0,30.0,canada,2023,3,1,17
104,calmness prevails as i practice mindfulness.,calmness,2023-03-02 18:00:00, MindfulMe       ,facebook, #Calmness #Mindfulness                      ,15.0,30.0,uk,2023,3,2,18
105,confusion surrounds me as i navigate through life's choices.,confusion,2023-03-02 13:15:00, ConfusedMind3   ,instagram, #Confusion #LifeChoices                     ,30.0,60.0,usa,2023,3,2,13
106,excitement for a weekend road trip to explore new places.,excitement,2023-03-02 16:45:00, RoadTripper2    ,twitter, #Excitement #WeekendAdventure               ,25.0,50.0,india,2023,3,2,16
107,kindness witnessed today restores my faith in humanity.,kind,2023-03-03 11:30:00, KindnessPrevails2,facebook, #Kindness #HumanityRestored                 ,22.0,45.0,usa,2023,3,3,11
108,pride in accomplishing personal and professional goals.,pride,2023-03-03 14:30:00, GoalAchiever    ,instagram, #Pride #Accomplishments                     ,12.0,25.0,canada,2023,3,3,14
109,shame for not being true to my values in a difficult situation.,shame,2023-03-03 12:00:00, ReflectiveSelf3 ,twitter, #Shame #Integrity                           ,15.0,30.0,uk,2023,3,3,12
110,"revisiting old memories, feeling a sense of elation.",elation,2010-05-15 15:30:00, NostalgiaFan    ,twitter, #Elation #Memories                             ,20.0,40.0,canada,2010,5,15,15
111,the victory of our team brought euphoria to the city.,euphoria,2021-08-10 21:15:00, SportsFanatic   ,instagram, #Euphoria #Victory                             ,15.0,30.0,usa,2021,8,10,21
112,"embracing the beauty of nature, a moment of contentment.",contentment,2011-06-20 14:45:00, NatureLover2    ,facebook, #Contentment #Nature                           ,25.0,50.0,india,2011,6,20,14
113,"meditating by the serene lake, finding inner peace.",serenity,2022-02-12 18:20:00, ZenMaster2      ,twitter, #Serenity #Meditation                          ,18.0,35.0,uk,2022,2,12,18
114,overflowing with gratitude for life's blessings.,gratitude,2012-11-25 10:00:00, ThankfulHeart   ,instagram, #Gratitude #Blessed                            ,30.0,60.0,australia,2012,11,25,10
115,"hopeful for a brighter tomorrow, despite challenges.",hope,2013-04-05 19:30:00, OptimisticSoul  ,facebook, #Hope #Optimism                                ,22.0,45.0,usa,2013,4,5,19
116,empowered to make a difference in my community.,empowerment,2014-09-14 08:30:00, CommunityLeader ,twitter, #Empowerment #Community                        ,15.0,30.0,uk,2014,9,14,8
117,compassion in action: supporting a local charity event.,compassion,2015-07-18 14:20:00, CharitySupporter,instagram, #Compassion #CharityEvent                   ,18.0,35.0,canada,2015,7,18,14
118,"a moment of tenderness, connecting with loved ones.",tenderness,2016-02-23 19:45:00, LovingHeart     ,facebook, #Tenderness #FamilyTime                       ,25.0,50.0,uk,2016,2,23,19
119,arousal of excitement as i await a special announcement.,arousal,2017-10-30 11:30:00, ExcitementFan   ,twitter, #Arousal #Excitement                           ,20.0,40.0,australia,2017,10,30,11
120,enthusiastically diving into a new project.,enthusiasm,2018-06-15 16:00:00, ProjectEnthusiast,instagram, #Enthusiasm #NewProject                       ,15.0,30.0,usa,2018,6,15,16
121,feeling a sense of fulfillment after reaching a milestone.,fulfillment,2019-03-28 18:20:00, MilestoneAchiever,facebook, #Fulfillment #Milestone                       ,22.0,45.0,india,2019,3,28,18
122,reverence for the beauty of a historic landmark.,reverence,2019-11-11 15:00:00, HistoryLover    ,twitter, #Reverence #History                           ,18.0,35.0,uk,2019,11,11,15
123,elation after a surprise reunion with old friends.,elation,2020-04-02 09:30:00, JoyfulReunion2  ,instagram, #Elation #OldFriends                          ,25.0,50.0,canada,2020,4,2,9
124,the euphoria of a live music concert under the stars.,euphoria,2021-06-19 14:45:00, MusicEnthusiast ,facebook, #Euphoria #LiveMusic                          ,15.0,30.0,usa,2021,6,19,14
125,contentment in the simplicity of a quiet sunday.,contentment,2010-08-15 10:00:00, SimpleJoys      ,twitter, #Contentment #SundayMood                      ,30.0,60.0,australia,2010,8,15,10
126,serenity found in the pages of a favorite book.,serenity,2011-09-22 19:30:00, BookLover3      ,instagram, #Serenity #BookTime                           ,22.0,45.0,uk,2011,9,22,19
127,gratitude for the support received during tough times.,gratitude,2012-03-10 08:30:00, SupportiveFriend,facebook, #Gratitude #Supportive                        ,15.0,30.0,india,2012,3,10,8
128,hopeful about the possibilities of a new journey.,hope,2013-12-05 16:00:00, JourneyOptimist ,twitter, #Hope #NewBeginnings                          ,18.0,35.0,canada,2013,12,5,16
129,empowerment through learning and personal growth.,empowerment,2014-07-20 11:30:00, GrowthSeeker    ,instagram, #Empowerment #PersonalGrowth                  ,25.0,50.0,usa,2014,7,20,11
130,compassion towards those in need during the holidays.,compassion,2015-12-22 14:20:00, HolidayHelper   ,facebook, #Compassion #HolidaySupport                   ,18.0,35.0,usa,2015,12,22,14
131,tenderness in the warmth of a cozy winter evening.,tenderness,2016-02-10 19:45:00, WinterWarmth    ,twitter, #Tenderness #CozyEvening                     ,25.0,50.0,uk,2016,2,10,19
132,arousal of excitement for an upcoming adventure.,arousal,2017-04-30 11:30:00, AdventureAwaits ,instagram, #Arousal #AdventureTime                       ,20.0,40.0,australia,2017,4,30,11
133,enthusiasm for a creative project in the making.,enthusiasm,2018-09-15 16:00:00, CreativeSpirit  ,facebook, #Enthusiasm #Creativity                       ,15.0,30.0,canada,2018,9,15,16
134,fulfillment in completing a challenging workout routine.,fulfillment,2019-06-28 18:20:00, FitnessAchiever ,twitter, #Fulfillment #FitnessGoals                   ,22.0,45.0,india,2019,6,28,18
135,reverence for the artistry displayed in a museum.,reverence,2020-11-11 15:00:00, ArtAppreciator  ,instagram, #Reverence #ArtAppreciation                  ,18.0,35.0,uk,2020,11,11,15
136,elation after achieving a personal goal.,elation,2021-03-02 09:30:00, GoalAchiever2   ,facebook, #Elation #PersonalAchievement                ,25.0,50.0,usa,2021,3,2,9
137,elation over discovering a hidden gem in the city.,elation,2012-02-18 14:30:00, UrbanExplorer2  ,twitter, #Elation #HiddenGem                            ,20.0,40.0,usa,2012,2,18,14
138,the euphoria of a surprise birthday celebration.,euphoria,2018-11-05 21:45:00, BirthdayJoy     ,instagram, #Euphoria #BirthdaySurprise                   ,15.0,30.0,uk,2018,11,5,21
139,contentment in the simplicity of a home-cooked meal.,contentment,2015-09-12 13:20:00, HomeChef        ,facebook, #Contentment #HomeCooking                     ,25.0,50.0,india,2015,9,12,13
140,serenity found in the melody of a peaceful piano.,serenity,2016-07-30 18:10:00, MusicLover4     ,twitter, #Serenity #PeacefulMelody                    ,18.0,35.0,canada,2016,7,30,18
141,gratitude for the supportive community around me.,gratitude,2013-04-20 10:30:00, CommunityLove   ,instagram, #Gratitude #CommunitySupport                   ,30.0,60.0,usa,2013,4,20,10
142,hopeful about the prospects of a new business venture.,hope,2017-12-08 19:15:00, EntrepreneurHope,facebook, #Hope #BusinessVenture                        ,22.0,45.0,canada,2017,12,8,19
143,empowerment through mentoring and guiding others.,empowerment,2014-06-03 08:20:00, MentorEmpower   ,twitter, #Empowerment #Mentorship                      ,15.0,30.0,uk,2014,6,3,8
144,compassion shown through acts of kindness in the community.,compassion,2019-01-15 14:50:00, KindnessInAction,instagram, #Compassion #CommunityKindness               ,18.0,35.0,australia,2019,1,15,14
145,tenderness in a heartfelt message to a loved one.,tenderness,2016-12-25 19:30:00, LoveExpress     ,facebook, #Tenderness #LoveNote                         ,25.0,50.0,uk,2016,12,25,19
146,arousal of excitement before a much-awaited trip.,arousal,2018-03-10 09:45:00, TravelExcitement,twitter, #Arousal #TravelAdventure                     ,20.0,40.0,india,2018,3,10,9
147,enthusiasm for a new artistic project in the works.,enthusiasm,2020-09-17 16:30:00, ArtisticSpirit  ,instagram, #Enthusiasm #ArtisticProject                 ,15.0,30.0,usa,2020,9,17,16
148,feeling a sense of fulfillment after helping others.,fulfillment,2011-08-28 18:45:00, HelperHeart     ,facebook, #Fulfillment #HelpingOthers                  ,22.0,45.0,canada,2011,8,28,18
149,reverence for the historical significance of a landmark.,reverence,2017-11-01 15:30:00, HistoryBuff     ,twitter, #Reverence #HistoricalSite                   ,18.0,35.0,australia,2017,11,1,15
150,elation after achieving a fitness milestone.,elation,2019-06-15 10:00:00, FitnessAchiever2,instagram, #Elation #FitnessMilestone                   ,25.0,50.0,uk,2019,6,15,10
151,the euphoria of a successful product launch.,euphoria,2022-04-03 11:45:00, ProductLaunchJoy,facebook, #Euphoria #ProductLaunchSuccess              ,15.0,30.0,usa,2022,4,3,11
152,contentment in the embrace of a loved one.,contentment,2010-11-12 20:20:00, LovingEmbrace   ,twitter, #Contentment #Love                             ,30.0,60.0,india,2010,11,12,20
153,serenity found in the beauty of a sunset by the sea.,serenity,2011-07-22 18:30:00, SunsetWatcher2  ,instagram, #Serenity #SunsetViews                       ,22.0,45.0,canada,2011,7,22,18
154,gratitude for the small joys that each day brings.,gratitude,2012-03-30 11:20:00, JoyfulHeart2    ,facebook, #Gratitude #SmallJoys                        ,15.0,30.0,australia,2012,3,30,11
155,hopeful about the potential for personal growth.,hope,2013-10-05 16:40:00, GrowthOptimist  ,twitter, #Hope #PersonalDevelopment                    ,18.0,35.0,uk,2013,10,5,16
156,empowerment through learning a new skill.,empowerment,2014-07-10 13:15:00, SkillEmpower    ,instagram, #Empowerment #SkillBuilding                   ,25.0,50.0,india,2014,7,10,13
157,compassion in volunteering for a local charity.,compassion,2015-12-18 14:20:00, CharityVolunteer,facebook, #Compassion #VolunteerWork                   ,18.0,35.0,usa,2015,12,18,14
158,tenderness in a quiet moment shared with a pet.,tenderness,2016-02-10 19:45:00, PetLove         ,twitter, #Tenderness #PetLove                          ,25.0,50.0,canada,2016,2,10,19
159,arousal of excitement for an upcoming festival.,arousal,2017-09-25 11:30:00, FestivalFan     ,instagram, #Arousal #FestivalExcitement               ,20.0,40.0,uk,2017,9,25,11
160,enthusiasm for a diy home improvement project.,enthusiasm,2018-04-15 16:00:00, DIYEnthusiast   ,facebook, #Enthusiasm #HomeImprovement                 ,15.0,30.0,australia,2018,4,15,16
161,fulfillment in completing a challenging puzzle.,fulfillment,2019-11-28 18:20:00, PuzzleMaster    ,twitter, #Fulfillment #PuzzleChallenge                ,22.0,45.0,india,2019,11,28,18
162,reverence for the wonders of nature on a hiking trail.,reverence,2020-05-11 15:00:00, NatureAdmirer   ,instagram, #Reverence #NatureExploration                ,18.0,35.0,usa,2020,5,11,15
163,elation after a surprise reunion with a childhood friend.,elation,2021-02-05 09:30:00, ChildhoodJoy    ,facebook, #Elation #FriendshipReunion                  ,25.0,50.0,canada,2021,2,5,9
164,suffering from despair after another setback.,despair,2021-03-10 08:30:00, StrugglingSoul    ,twitter, #Despair #Struggle                              ,5.0,10.0,usa,2021,3,10,8
165,"overwhelmed by grief, missing a loved one dearly.",grief,2022-07-05 15:45:00, MourningHeart     ,instagram, #Grief #Loss                                   ,8.0,15.0,canada,2022,7,5,15
